Elements,Density_1,Density_2,Melting_1,Melting_2,Number_1,Number_2,Eneg_1,Eneg_2,Valence_1,Valence_2,Radius_1,Radius_2,Magnetic_1,Magnetic_2,Vacancy_11,Vacancy_12,Vacancy_13,Vacancy_21,Vacancy_22,Vacancy_23,Density_Fe,Melting_Fe,Eneg_Fe,Number_Fe,Radius_Fe,Valence_Fe,Distance_sub_sub,Energy_binding
Mn-Rh,7.3,12.4,1519.15,2236.15,25,45,1.55,2.28,7,9,127.0,134.0,-2.092,0.571,0.132,0.094,0.019,0.157,0.11,0.066,7.87,1811.15,1.83,26,126.0,8,2.5154685249775355,-0.088
Mn-Pd,7.3,12.0,1519.15,1827.9499999999998,25,46,1.55,2.2,7,10,127.0,137.0,-2.64,0.298,0.132,0.094,0.019,0.294,0.217,0.106,7.87,1811.15,1.83,26,126.0,8,2.570522396882963,-0.077
Mn-Sn,7.3,7.287,1519.15,505.08,25,50,1.55,1.96,7,4,127.0,163.0,-2.264,-0.165,0.132,0.094,0.019,0.758,0.114,0.109,7.87,1811.15,1.83,26,126.0,8,2.640497291334215,0.017
Mn-Sb,7.3,6.68,1519.15,903.778,25,51,1.55,2.05,7,5,127.0,166.0,-2.141,-0.072,0.132,0.094,0.019,0.749,0.131,0.058,7.87,1811.15,1.83,26,126.0,8,2.623630067474363,-0.031
Mn-Te,7.3,6.232,1519.15,722.66,25,52,1.55,2.1,7,6,127.0,160.0,-2.089,-0.053,0.132,0.094,0.019,0.801,0.196,0.031,7.87,1811.15,1.83,26,126.0,8,2.611740113207284,-0.06
Mn-Hf,7.3,13.3,1519.15,2506.15,25,72,1.55,1.3,7,4,127.0,159.0,-1.532,-0.501,0.132,0.094,0.019,0.646,-0.148,0.073,7.87,1811.15,1.83,26,126.0,8,2.6246224490354266,-0.162
Mn-Ta,7.3,16.4,1519.15,3290.15,25,73,1.55,1.5,7,5,127.0,146.0,-1.134,-0.661,0.132,0.094,0.019,0.321,-0.18,0.04,7.87,1811.15,1.83,26,126.0,8,2.5646525713936414,-0.215
Mn-W,7.3,19.3,1519.15,3687.15,25,74,1.55,1.7,7,6,127.0,139.0,-0.979,-0.638,0.132,0.094,0.019,0.129,-0.149,0.016,7.87,1811.15,1.83,26,126.0,8,2.5126384390867544,-0.235
Mn-Re,7.3,20.8,1519.15,3458.15,25,75,1.55,1.9,7,7,127.0,137.0,1.086,-0.581,0.132,0.094,0.019,0.077,-0.088,0.01,7.87,1811.15,1.83,26,126.0,8,2.4366272738163457,-0.141
Mn-Os,7.3,22.5872,1519.15,3306.15,25,76,1.55,2.2,7,8,127.0,135.0,0.82,-0.209,0.132,0.094,0.019,0.091,-0.016,0.02,7.87,1811.15,1.83,26,126.0,8,2.4240201285107568,-0.101
Mn-Ir,7.3,22.5622,1519.15,2719.15,25,77,1.55,2.2,7,9,127.0,136.0,-1.851,0.392,0.132,0.094,0.019,0.135,0.081,0.057,7.87,1811.15,1.83,26,126.0,8,2.50131787046141,-0.093
Mn-Pt,7.3,21.5,1519.15,2041.35,25,78,1.55,2.2,7,10,127.0,139.0,-0.062,0.388,0.132,0.094,0.019,0.262,0.205,0.094,7.87,1811.15,1.83,26,126.0,8,2.5567071668916586,-0.266
Mn-Au,7.3,19.3,1519.15,1337.33,25,79,1.55,2.4,7,11,127.0,144.0,-2.618,0.127,0.132,0.094,0.019,0.457,0.297,0.138,7.87,1811.15,1.83,26,126.0,8,2.6115588025492364,-0.059
Mn-U,7.3,19.1,1519.15,1408.15,25,92,1.55,1.7,7,6,127.0,170.0,1.334,-1.136,0.132,0.094,0.019,1.248,0.229,0.073,7.87,1811.15,1.83,26,126.0,8,2.4399458920267825,-0.236
Mn-Np,7.3,20.2,1519.15,917.15,25,93,1.55,1.3,7,7,127.0,171.0,1.383,-2.485,0.132,0.094,0.019,1.286,0.247,0.055,7.87,1811.15,1.83,26,126.0,8,2.4340875531616453,-0.224
Co-Co,8.86,8.86,1768.15,1768.15,27,27,1.88,1.88,9,9,125.0,125.0,1.744,1.741,-0.01,0.113,0.016,-0.01,0.113,0.016,7.87,1811.15,1.83,26,126.0,8,2.4566122772341363,-0.027
Co-Ni,8.86,8.9,1768.15,1728.15,27,28,1.88,1.91,9,10,125.0,124.0,1.749,0.908,-0.01,0.113,0.016,0.105,0.22,0.046,7.87,1811.15,1.83,26,126.0,8,2.4790774591581313,-0.045
Co-Cu,8.86,8.96,1768.15,1357.77,27,29,1.88,1.9,9,11,125.0,128.0,1.686,0.122,-0.01,0.113,0.016,0.254,0.219,0.054,7.87,1811.15,1.83,26,126.0,8,2.4742896806947337,0.02
Co-Zn,8.86,7.134,1768.15,692.6769999999999,27,30,1.88,1.65,9,12,125.0,134.0,1.669,-0.077,-0.01,0.113,0.016,0.327,0.112,0.043,7.87,1811.15,1.83,26,126.0,8,2.4788553055666083,0.01
Co-Ga,8.86,5.91,1768.15,302.91459999999995,27,31,1.88,1.81,9,3,125.0,140.0,1.622,-0.168,-0.01,0.113,0.016,0.403,0.093,0.04,7.87,1811.15,1.83,26,126.0,8,2.4877550644880237,0.001
Co-Ge,8.86,5.3234,1768.15,1211.4,27,32,1.88,2.01,9,4,125.0,144.0,1.568,-0.114,-0.01,0.113,0.016,0.467,0.158,0.031,7.87,1811.15,1.83,26,126.0,8,2.487824801035546,0.015
Co-As,8.86,5.75,1768.15,1090.15,27,33,1.88,2.18,9,5,125.0,148.0,1.531,-0.069,-0.01,0.113,0.016,0.536,0.228,0.011,7.87,1811.15,1.83,26,126.0,8,2.4842650346146162,0.017
Co-Se,8.86,4.819,1768.15,494.15,27,34,1.88,2.55,9,6,125.0,140.0,1.551,-0.021,-0.01,0.113,0.016,0.675,0.308,0.014,7.87,1811.15,1.83,26,126.0,8,2.5004200339242937,0.013
Co-Zr,8.86,6.52,1768.15,2127.15,27,40,1.88,1.33,9,4,125.0,160.0,1.592,-0.427,-0.01,0.113,0.016,0.745,-0.091,0.065,7.87,1811.15,1.83,26,126.0,8,2.54899558140193,0.021
Co-Nb,8.86,8.57,1768.15,2750.15,27,41,1.88,1.6,9,5,125.0,146.0,1.596,-0.725,-0.01,0.113,0.016,0.395,-0.142,0.053,7.87,1811.15,1.83,26,126.0,8,2.5276846402634483,-0.023
Co-Mo,8.86,10.2,1768.15,2895.15,27,42,1.88,2.16,9,6,125.0,139.0,1.609,-0.803,-0.01,0.113,0.016,0.17,-0.117,0.026,7.87,1811.15,1.83,26,126.0,8,2.5168023001690703,-0.07
Co-Ru,8.86,12.1,1768.15,2606.15,27,44,1.88,2.2,9,8,125.0,134.0,1.7,0.224,-0.01,0.113,0.016,0.122,0.017,0.047,7.87,1811.15,1.83,26,126.0,8,2.5098257604967755,-0.093
Co-Rh,8.86,12.4,1768.15,2236.15,27,45,1.88,2.28,9,9,125.0,134.0,1.752,0.668,-0.01,0.113,0.016,0.157,0.11,0.066,7.87,1811.15,1.83,26,126.0,8,2.5141940657098765,-0.056
Co-Pd,8.86,12.0,1768.15,1827.9499999999998,27,46,1.88,2.2,9,10,125.0,137.0,1.764,0.414,-0.01,0.113,0.016,0.294,0.217,0.106,7.87,1811.15,1.83,26,126.0,8,2.534602260066766,-0.039
Co-Sn,8.86,7.287,1768.15,505.08,27,50,1.88,1.96,9,4,125.0,163.0,1.56,-0.192,-0.01,0.113,0.016,0.758,0.114,0.109,7.87,1811.15,1.83,26,126.0,8,2.5519522678958424,0.048
Co-Sb,8.86,6.68,1768.15,903.778,27,51,1.88,2.05,9,5,125.0,166.0,1.527,-0.09,-0.01,0.113,0.016,0.749,0.131,0.058,7.87,1811.15,1.83,26,126.0,8,2.5449376526550305,0.035
Co-Te,8.86,6.232,1768.15,722.66,27,52,1.88,2.1,9,6,125.0,160.0,1.509,-0.074,-0.01,0.113,0.016,0.801,0.196,0.031,7.87,1811.15,1.83,26,126.0,8,2.5425183087214296,0.01
Co-Hf,8.86,13.3,1768.15,2506.15,27,72,1.88,1.3,9,4,125.0,159.0,1.582,-0.56,-0.01,0.113,0.016,0.646,-0.148,0.073,7.87,1811.15,1.83,26,126.0,8,2.540177755887717,0.034
Co-Ta,8.86,16.4,1768.15,3290.15,27,73,1.88,1.5,9,5,125.0,146.0,1.581,-0.768,-0.01,0.113,0.016,0.321,-0.18,0.04,7.87,1811.15,1.83,26,126.0,8,2.520342703454954,-0.015
Co-W,8.86,19.3,1768.15,3687.15,27,74,1.88,1.7,9,6,125.0,139.0,1.588,-0.765,-0.01,0.113,0.016,0.129,-0.149,0.016,7.87,1811.15,1.83,26,126.0,8,2.5119555504951947,-0.068
Co-Re,8.86,20.8,1768.15,3458.15,27,75,1.88,1.9,9,7,125.0,137.0,1.608,-0.612,-0.01,0.113,0.016,0.077,-0.088,0.01,7.87,1811.15,1.83,26,126.0,8,2.5130975157483224,-0.107
Co-Os,8.86,22.5872,1768.15,3306.15,27,76,1.88,2.2,9,8,125.0,135.0,1.667,-0.187,-0.01,0.113,0.016,0.091,-0.016,0.02,7.87,1811.15,1.83,26,126.0,8,2.5200658899239055,-0.13
Co-Ir,8.86,22.5622,1768.15,2719.15,27,77,1.88,2.2,9,9,125.0,136.0,1.729,0.476,-0.01,0.113,0.016,0.135,0.081,0.057,7.87,1811.15,1.83,26,126.0,8,2.519224380686019,-0.081
Co-Pt,8.86,21.5,1768.15,2041.35,27,78,1.88,2.2,9,10,125.0,139.0,1.76,0.431,-0.01,0.113,0.016,0.262,0.205,0.094,7.87,1811.15,1.83,26,126.0,8,2.536766560912795,-0.059
Co-Au,8.86,19.3,1768.15,1337.33,27,79,1.88,2.4,9,11,125.0,144.0,1.739,0.194,-0.01,0.113,0.016,0.457,0.297,0.138,7.87,1811.15,1.83,26,126.0,8,2.5599044110974685,-0.046
Co-U,8.86,19.1,1768.15,1408.15,27,92,1.88,1.7,9,6,125.0,170.0,1.53,-1.307,-0.01,0.113,0.016,1.248,0.229,0.073,7.87,1811.15,1.83,26,126.0,8,2.5506055284975835,-0.073
Co-Np,8.86,20.2,1768.15,917.15,27,93,1.88,1.3,9,7,125.0,171.0,1.555,-2.661,-0.01,0.113,0.016,1.286,0.247,0.055,7.87,1811.15,1.83,26,126.0,8,2.5513990758266356,-0.072
Ni-Ni,8.9,8.9,1728.15,1728.15,28,28,1.91,1.91,10,10,124.0,124.0,0.857,0.859,0.105,0.22,0.046,0.105,0.22,0.046,7.87,1811.15,1.83,26,126.0,8,2.4893080093536066,-0.03
Ni-Cu,8.9,8.96,1728.15,1357.77,28,29,1.91,1.9,10,11,124.0,128.0,0.841,0.134,0.105,0.22,0.046,0.254,0.219,0.054,7.87,1811.15,1.83,26,126.0,8,2.480027565940255,0.131
Ni-Zn,8.9,7.134,1728.15,692.6769999999999,28,30,1.91,1.65,10,12,124.0,134.0,0.826,-0.075,0.105,0.22,0.046,0.327,0.112,0.043,7.87,1811.15,1.83,26,126.0,8,2.482704151416844,0.08
Ni-Ga,8.9,5.91,1728.15,302.91459999999995,28,31,1.91,1.81,10,3,124.0,140.0,0.771,-0.168,0.105,0.22,0.046,0.403,0.093,0.04,7.87,1811.15,1.83,26,126.0,8,2.4890443524185235,0.106
Ni-Ge,8.9,5.3234,1728.15,1211.4,28,32,1.91,2.01,10,4,124.0,144.0,0.735,-0.112,0.105,0.22,0.046,0.467,0.158,0.031,7.87,1811.15,1.83,26,126.0,8,2.489068835709805,0.137
Ni-As,8.9,5.75,1728.15,1090.15,28,33,1.91,2.18,10,5,124.0,148.0,0.721,-0.068,0.105,0.22,0.046,0.536,0.228,0.011,7.87,1811.15,1.83,26,126.0,8,2.494533913974232,0.127
Ni-Se,8.9,4.819,1728.15,494.15,28,34,1.91,2.55,10,6,124.0,140.0,0.749,-0.017,0.105,0.22,0.046,0.675,0.308,0.014,7.87,1811.15,1.83,26,126.0,8,2.5323557411194573,0.123
Ni-Zr,8.9,6.52,1728.15,2127.15,28,40,1.91,1.33,10,4,124.0,160.0,0.802,-0.409,0.105,0.22,0.046,0.745,-0.091,0.065,7.87,1811.15,1.83,26,126.0,8,2.5614046802784296,0.026
Ni-Nb,8.9,8.57,1728.15,2750.15,28,41,1.91,1.6,10,5,124.0,146.0,0.81,-0.704,0.105,0.22,0.046,0.395,-0.142,0.053,7.87,1811.15,1.83,26,126.0,8,2.549788595388566,-0.059
Ni-Mo,8.9,10.2,1728.15,2895.15,28,42,1.91,2.16,10,6,124.0,139.0,0.821,-0.787,0.105,0.22,0.046,0.17,-0.117,0.026,7.87,1811.15,1.83,26,126.0,8,2.5471369538239257,-0.139
Ni-Ru,8.9,12.1,1728.15,2606.15,28,44,1.91,2.2,10,8,124.0,134.0,0.888,0.295,0.105,0.22,0.046,0.122,0.017,0.047,7.87,1811.15,1.83,26,126.0,8,2.5365119348755476,-0.16
Ni-Rh,8.9,12.4,1728.15,2236.15,28,45,1.91,2.28,10,9,124.0,134.0,0.907,0.678,0.105,0.22,0.046,0.157,0.11,0.066,7.87,1811.15,1.83,26,126.0,8,2.533857190582327,-0.079
Ni-Pd,8.9,12.0,1728.15,1827.9499999999998,28,46,1.91,2.2,10,10,124.0,137.0,0.868,0.388,0.105,0.22,0.046,0.294,0.217,0.106,7.87,1811.15,1.83,26,126.0,8,2.542958546232921,-0.019
Ni-Sn,8.9,7.287,1728.15,505.08,28,50,1.91,1.96,10,4,124.0,163.0,0.733,-0.188,0.105,0.22,0.046,0.758,0.114,0.109,7.87,1811.15,1.83,26,126.0,8,2.5501302155027554,0.185
Ni-Sb,8.9,6.68,1728.15,903.778,28,51,1.91,2.05,10,5,124.0,166.0,0.717,-0.088,0.105,0.22,0.046,0.749,0.131,0.058,7.87,1811.15,1.83,26,126.0,8,2.5467924005613636,0.134
Ni-Te,8.9,6.232,1728.15,722.66,28,52,1.91,2.1,10,6,124.0,160.0,0.716,-0.07,0.105,0.22,0.046,0.801,0.196,0.031,7.87,1811.15,1.83,26,126.0,8,2.5494802220486092,0.077
Ni-Hf,8.9,13.3,1728.15,2506.15,28,72,1.91,1.3,10,4,124.0,159.0,0.801,-0.532,0.105,0.22,0.046,0.646,-0.148,0.073,7.87,1811.15,1.83,26,126.0,8,2.548720729180298,0.049
Ni-Ta,8.9,16.4,1728.15,3290.15,28,73,1.91,1.5,10,5,124.0,146.0,0.805,-0.735,0.105,0.22,0.046,0.321,-0.18,0.04,7.87,1811.15,1.83,26,126.0,8,2.542064500102196,-0.06
Ni-W,8.9,19.3,1728.15,3687.15,28,74,1.91,1.7,10,6,124.0,139.0,0.807,-0.741,0.105,0.22,0.046,0.129,-0.149,0.016,7.87,1811.15,1.83,26,126.0,8,2.539794304663137,-0.152
Ni-Re,8.9,20.8,1728.15,3458.15,28,75,1.91,1.9,10,7,124.0,137.0,0.807,-0.604,0.105,0.22,0.046,0.077,-0.088,0.01,7.87,1811.15,1.83,26,126.0,8,2.5446924440326373,-0.216
Ni-Os,8.9,22.5872,1728.15,3306.15,28,76,1.91,2.2,10,8,124.0,135.0,0.842,-0.176,0.105,0.22,0.046,0.091,-0.016,0.02,7.87,1811.15,1.83,26,126.0,8,2.5483612592168736,-0.24
Ni-Ir,8.9,22.5622,1728.15,2719.15,28,77,1.91,2.2,10,9,124.0,136.0,0.899,0.495,0.105,0.22,0.046,0.135,0.081,0.057,7.87,1811.15,1.83,26,126.0,8,2.5399371671571713,-0.137
Ni-Pt,8.9,21.5,1728.15,2041.35,28,78,1.91,2.2,10,10,124.0,139.0,0.883,0.417,0.105,0.22,0.046,0.262,0.205,0.094,7.87,1811.15,1.83,26,126.0,8,2.5497970350130243,-0.077
Ni-Au,8.9,19.3,1728.15,1337.33,28,79,1.91,2.4,10,11,124.0,144.0,0.8,0.152,0.105,0.22,0.046,0.457,0.297,0.138,7.87,1811.15,1.83,26,126.0,8,2.562735034397482,0.02
Ni-U,8.9,19.1,1728.15,1408.15,28,92,1.91,1.7,10,6,124.0,170.0,0.758,-1.314,0.105,0.22,0.046,1.248,0.229,0.073,7.87,1811.15,1.83,26,126.0,8,2.606234603892896,-0.155
Ni-Np,8.9,20.2,1728.15,917.15,28,93,1.91,1.3,10,7,124.0,171.0,0.783,-2.637,0.105,0.22,0.046,1.286,0.247,0.055,7.87,1811.15,1.83,26,126.0,8,2.614783229547723,-0.158
Cu-Cu,8.96,8.96,1357.77,1357.77,29,29,1.9,1.9,11,11,128.0,128.0,0.134,0.134,0.254,0.219,0.054,0.254,0.219,0.054,7.87,1811.15,1.83,26,126.0,8,2.4649256793658165,0.197
Cu-Zn,8.96,7.134,1357.77,692.6769999999999,29,30,1.9,1.65,11,12,128.0,134.0,0.114,-0.078,0.254,0.219,0.054,0.327,0.112,0.043,7.87,1811.15,1.83,26,126.0,8,2.4763874248028572,0.198
Cu-Ga,8.96,5.91,1357.77,302.91459999999995,29,31,1.9,1.81,11,3,128.0,140.0,0.115,-0.164,0.254,0.219,0.054,0.403,0.093,0.04,7.87,1811.15,1.83,26,126.0,8,2.493314389543867,0.213
Cu-Ge,8.96,5.3234,1357.77,1211.4,29,32,1.9,2.01,11,4,128.0,144.0,0.114,-0.11,0.254,0.219,0.054,0.467,0.158,0.031,7.87,1811.15,1.83,26,126.0,8,2.507700287757325,0.196
Cu-As,8.96,5.75,1357.77,1090.15,29,33,1.9,2.18,11,5,128.0,148.0,0.118,-0.066,0.254,0.219,0.054,0.536,0.228,0.011,7.87,1811.15,1.83,26,126.0,8,2.5396595003095688,0.146
Cu-Se,8.96,4.819,1357.77,494.15,29,34,1.9,2.55,11,6,128.0,140.0,0.133,-0.01,0.254,0.219,0.054,0.675,0.308,0.014,7.87,1811.15,1.83,26,126.0,8,2.5973669374167576,0.144
Cu-Zr,8.96,6.52,1357.77,2127.15,29,40,1.9,1.33,11,4,128.0,160.0,0.091,-0.425,0.254,0.219,0.054,0.745,-0.091,0.065,7.87,1811.15,1.83,26,126.0,8,2.595425657580862,0.029
Cu-Nb,8.96,8.57,1357.77,2750.15,29,41,1.9,1.6,11,5,128.0,146.0,0.081,-0.739,0.254,0.219,0.054,0.395,-0.142,0.053,7.87,1811.15,1.83,26,126.0,8,2.5775298813710608,-0.051
Cu-Mo,8.96,10.2,1357.77,2895.15,29,42,1.9,2.16,11,6,128.0,139.0,0.08,-0.841,0.254,0.219,0.054,0.17,-0.117,0.026,7.87,1811.15,1.83,26,126.0,8,2.5638547498169495,-0.096
Cu-Ru,8.96,12.1,1357.77,2606.15,29,44,1.9,2.2,11,8,128.0,134.0,0.111,0.103,0.254,0.219,0.054,0.122,0.017,0.047,7.87,1811.15,1.83,26,126.0,8,2.54085485771181,-0.046
Cu-Rh,8.96,12.4,1357.77,2236.15,29,45,1.9,2.28,11,9,128.0,134.0,0.128,0.6,0.254,0.219,0.054,0.157,0.11,0.066,7.87,1811.15,1.83,26,126.0,8,2.5293395852986498,0.044
Cu-Pd,8.96,12.0,1357.77,1827.9499999999998,29,46,1.9,2.2,11,10,128.0,137.0,0.137,0.368,0.254,0.219,0.054,0.294,0.217,0.106,7.87,1811.15,1.83,26,126.0,8,2.533069594546888,0.155
Cu-Sn,8.96,7.287,1357.77,505.08,29,50,1.9,1.96,11,4,128.0,163.0,0.108,-0.178,0.254,0.219,0.054,0.758,0.114,0.109,7.87,1811.15,1.83,26,126.0,8,2.5643742322368355,0.242
Cu-Sb,8.96,6.68,1357.77,903.778,29,51,1.9,2.05,11,5,128.0,166.0,0.104,-0.086,0.254,0.219,0.054,0.749,0.131,0.058,7.87,1811.15,1.83,26,126.0,8,2.570650506494101,0.127
Cu-Te,8.96,6.232,1357.77,722.66,29,52,1.9,2.1,11,6,128.0,160.0,0.1,-0.066,0.254,0.219,0.054,0.801,0.196,0.031,7.87,1811.15,1.83,26,126.0,8,2.5862049344358153,0.035
Cu-Hf,8.96,13.3,1357.77,2506.15,29,72,1.9,1.3,11,4,128.0,159.0,0.088,-0.546,0.254,0.219,0.054,0.646,-0.148,0.073,7.87,1811.15,1.83,26,126.0,8,2.5840499683613287,0.031
Cu-Ta,8.96,16.4,1357.77,3290.15,29,73,1.9,1.5,11,5,128.0,146.0,0.077,-0.771,0.254,0.219,0.054,0.321,-0.18,0.04,7.87,1811.15,1.83,26,126.0,8,2.571310484255083,-0.071
Cu-W,8.96,19.3,1357.77,3687.15,29,74,1.9,1.7,11,6,128.0,139.0,0.075,-0.788,0.254,0.219,0.054,0.129,-0.149,0.016,7.87,1811.15,1.83,26,126.0,8,2.562144115329335,-0.129
Cu-Re,8.96,20.8,1357.77,3458.15,29,75,1.9,1.9,11,7,128.0,137.0,0.08,-0.657,0.254,0.219,0.054,0.077,-0.088,0.01,7.87,1811.15,1.83,26,126.0,8,2.560410663987902,-0.136
Cu-Os,8.96,22.5872,1357.77,3306.15,29,76,1.9,2.2,11,8,128.0,135.0,0.099,-0.257,0.254,0.219,0.054,0.091,-0.016,0.02,7.87,1811.15,1.83,26,126.0,8,2.5533872095287085,-0.108
Cu-Ir,8.96,22.5622,1357.77,2719.15,29,77,1.9,2.2,11,9,128.0,136.0,0.123,0.415,0.254,0.219,0.054,0.135,0.081,0.057,7.87,1811.15,1.83,26,126.0,8,2.5400370818091536,-0.017
Cu-Pt,8.96,21.5,1357.77,2041.35,29,78,1.9,2.2,11,10,128.0,139.0,0.132,0.38,0.254,0.219,0.054,0.262,0.205,0.094,7.87,1811.15,1.83,26,126.0,8,2.5443527598417037,0.084
Cu-Au,8.96,19.3,1357.77,1337.33,29,79,1.9,2.4,11,11,128.0,144.0,0.135,0.164,0.254,0.219,0.054,0.457,0.297,0.138,7.87,1811.15,1.83,26,126.0,8,2.5549655363997763,0.187
Cu-U,8.96,19.1,1357.77,1408.15,29,92,1.9,1.7,11,6,128.0,170.0,0.072,-1.325,0.254,0.219,0.054,1.248,0.229,0.073,7.87,1811.15,1.83,26,126.0,8,2.6898218009257375,-0.182
Cu-Np,8.96,20.2,1357.77,917.15,29,93,1.9,1.3,11,7,128.0,171.0,0.068,-2.721,0.254,0.219,0.054,1.286,0.247,0.055,7.87,1811.15,1.83,26,126.0,8,2.6975404393245985,-0.161
Zn-Zn,7.134,7.134,692.6769999999999,692.6769999999999,30,30,1.65,1.65,12,12,134.0,134.0,-0.075,-0.075,0.327,0.112,0.043,0.327,0.112,0.043,7.87,1811.15,1.83,26,126.0,8,2.512096709207251,0.128
Zn-Ga,7.134,5.91,692.6769999999999,302.91459999999995,30,31,1.65,1.81,12,3,134.0,140.0,-0.073,-0.161,0.327,0.112,0.043,0.403,0.093,0.04,7.87,1811.15,1.83,26,126.0,8,2.5552841570233724,0.057
Zn-Ge,7.134,5.3234,692.6769999999999,1211.4,30,32,1.65,2.01,12,4,134.0,144.0,-0.072,-0.11,0.327,0.112,0.043,0.467,0.158,0.031,7.87,1811.15,1.83,26,126.0,8,2.5925680852485846,-0.024
Zn-As,7.134,5.75,692.6769999999999,1090.15,30,33,1.65,2.18,12,5,134.0,148.0,-0.073,-0.064,0.327,0.112,0.043,0.536,0.228,0.011,7.87,1811.15,1.83,26,126.0,8,2.6335195285537973,-0.1
Zn-Se,7.134,4.819,692.6769999999999,494.15,30,34,1.65,2.55,12,6,134.0,140.0,-0.073,-0.008,0.327,0.112,0.043,0.675,0.308,0.014,7.87,1811.15,1.83,26,126.0,8,2.6964244727824638,-0.066
Zn-Zr,7.134,6.52,692.6769999999999,2127.15,30,40,1.65,1.33,12,4,134.0,160.0,-0.082,-0.431,0.327,0.112,0.043,0.745,-0.091,0.065,7.87,1811.15,1.83,26,126.0,8,2.6506214921427955,-0.122
Zn-Nb,7.134,8.57,692.6769999999999,2750.15,30,41,1.65,1.6,12,5,134.0,146.0,-0.078,-0.729,0.327,0.112,0.043,0.395,-0.142,0.053,7.87,1811.15,1.83,26,126.0,8,2.626199502422236,-0.172
Zn-Mo,7.134,10.2,692.6769999999999,2895.15,30,42,1.65,2.16,12,6,134.0,139.0,-0.073,-0.808,0.327,0.112,0.043,0.17,-0.117,0.026,7.87,1811.15,1.83,26,126.0,8,2.607284830629501,-0.2
Zn-Ru,7.134,12.1,692.6769999999999,2606.15,30,44,1.65,2.2,12,8,134.0,134.0,-0.067,0.207,0.327,0.112,0.043,0.122,0.017,0.047,7.87,1811.15,1.83,26,126.0,8,2.549748601535137,-0.088
Zn-Rh,7.134,12.4,692.6769999999999,2236.15,30,45,1.65,2.28,12,9,134.0,134.0,-0.07,0.612,0.327,0.112,0.043,0.157,0.11,0.066,7.87,1811.15,1.83,26,126.0,8,2.5273576159271167,0.031
Zn-Pd,7.134,12.0,692.6769999999999,1827.9499999999998,30,46,1.65,2.2,12,10,134.0,137.0,-0.074,0.358,0.327,0.112,0.043,0.294,0.217,0.106,7.87,1811.15,1.83,26,126.0,8,2.5288590351248414,0.113
Zn-Sn,7.134,7.287,692.6769999999999,505.08,30,50,1.65,1.96,12,4,134.0,163.0,-0.073,-0.179,0.327,0.112,0.043,0.758,0.114,0.109,7.87,1811.15,1.83,26,126.0,8,2.6308607537713167,-0.018
Zn-Sb,7.134,6.68,692.6769999999999,903.778,30,51,1.65,2.05,12,5,134.0,166.0,-0.075,-0.087,0.327,0.112,0.043,0.749,0.131,0.058,7.87,1811.15,1.83,26,126.0,8,2.6527048547273395,-0.166
Zn-Te,7.134,6.232,692.6769999999999,722.66,30,52,1.65,2.1,12,6,134.0,160.0,-0.075,-0.065,0.327,0.112,0.043,0.801,0.196,0.031,7.87,1811.15,1.83,26,126.0,8,2.682069707425272,-0.251
Zn-Hf,7.134,13.3,692.6769999999999,2506.15,30,72,1.65,1.3,12,4,134.0,159.0,-0.083,-0.559,0.327,0.112,0.043,0.646,-0.148,0.073,7.87,1811.15,1.83,26,126.0,8,2.6429108813289637,-0.119
Zn-Ta,7.134,16.4,692.6769999999999,3290.15,30,73,1.65,1.5,12,5,134.0,146.0,-0.078,-0.758,0.327,0.112,0.043,0.321,-0.18,0.04,7.87,1811.15,1.83,26,126.0,8,2.629009194462881,-0.214
Zn-W,7.134,19.3,692.6769999999999,3687.15,30,74,1.65,1.7,12,6,134.0,139.0,-0.072,-0.761,0.327,0.112,0.043,0.129,-0.149,0.016,7.87,1811.15,1.83,26,126.0,8,2.614039000803266,-0.266
Zn-Re,7.134,20.8,692.6769999999999,3458.15,30,75,1.65,1.9,12,7,134.0,137.0,-0.068,-0.618,0.327,0.112,0.043,0.077,-0.088,0.01,7.87,1811.15,1.83,26,126.0,8,2.603324903624259,-0.268
Zn-Os,7.134,22.5872,692.6769999999999,3306.15,30,76,1.65,2.2,12,8,134.0,135.0,-0.065,-0.208,0.327,0.112,0.043,0.091,-0.016,0.02,7.87,1811.15,1.83,26,126.0,8,2.580318166597269,-0.208
Zn-Ir,7.134,22.5622,692.6769999999999,2719.15,30,77,1.65,2.2,12,9,134.0,136.0,-0.064,0.44,0.327,0.112,0.043,0.135,0.081,0.057,7.87,1811.15,1.83,26,126.0,8,2.5480713105472415,-0.063
Zn-Pt,7.134,21.5,692.6769999999999,2041.35,30,78,1.65,2.2,12,10,134.0,139.0,-0.069,0.377,0.327,0.112,0.043,0.262,0.205,0.094,7.87,1811.15,1.83,26,126.0,8,2.5470255909559363,0.023
Zn-Au,7.134,19.3,692.6769999999999,1337.33,30,79,1.65,2.4,12,11,134.0,144.0,-0.075,0.147,0.327,0.112,0.043,0.457,0.297,0.138,7.87,1811.15,1.83,26,126.0,8,2.561671997630742,0.103
Zn-U,7.134,19.1,692.6769999999999,1408.15,30,92,1.65,1.7,12,6,134.0,170.0,-0.078,-1.351,0.327,0.112,0.043,1.248,0.229,0.073,7.87,1811.15,1.83,26,126.0,8,2.787734958570135,-0.374
