Elements,Density_sum,Density_diff,Density_aver,Eneg_sum,Eneg_diff,Eneg_aver,Magnetic_sum,Magnetic_diff,Melting_sum,Melting_diff,Melting_aver,Number_sum,Number_diff,Number_aver,Radius_sum,Radius_diff,Radius_aver,Vacancy_1_sum,Vacancy_1_diff,Vacancy_2_sum,Vacancy_2_diff,Vacancy_3_sum,Vacancy_3_diff,Valence_sum,Valence_diff,Valence_aver,Energy_binding
Be-Re,2.8780177890724272,2.407878017789072,1.4390088945362136,1.896174863387978,0.18032786885245894,0.948087431693989,-0.708,0.488,2.7707809955000964,1.0479529580653175,1.3853904977500482,3.0384615384615383,2.730769230769231,1.5192307692307692,1.9761904761904763,0.1984126984126984,0.9880952380952381,0.184,0.03,0.055999999999999994,0.23199999999999998,0.002,0.018000000000000002,1.125,0.625,0.5625,-0.122
Be-Os,3.105108005082592,2.6349682337992375,1.552554002541296,2.0601092896174866,0.34426229508196726,1.0300546448087433,-0.301,0.08700000000000001,2.686856417193496,0.9640283797587168,1.343428208596748,3.076923076923077,2.769230769230769,1.5384615384615385,1.9603174603174602,0.18253968253968253,0.9801587301587301,0.198,0.016,0.128,0.15999999999999998,0.012,0.028,1.25,0.75,0.625,-0.051
Be-Ir,3.1019313850063535,2.6317916137229984,1.5509656925031767,2.0601092896174866,0.34426229508196726,1.0300546448087433,0.315,0.541,2.36275294702261,0.6399249095878309,1.181376473511305,3.1153846153846154,2.8076923076923075,1.5576923076923077,1.9682539682539681,0.19047619047619047,0.9841269841269841,0.242,0.02800000000000001,0.22499999999999998,0.06299999999999999,0.049,0.065,1.375,0.875,0.6875,0.057
Be-Pt,2.966963151207116,2.496823379923761,1.483481575603558,2.0601092896174866,0.34426229508196726,1.0300546448087433,0.253,0.489,1.9885155840212019,0.26568754658642285,0.9942577920106009,3.1538461538461537,2.8461538461538463,1.5769230769230769,1.992063492063492,0.21428571428571427,0.996031746031746,0.369,0.15500000000000003,0.349,0.061,0.086,0.10200000000000001,1.5,1.0,0.75,0.118
Be-Au,2.6874205844980943,2.2172808132147392,1.3437102922490471,2.169398907103825,0.4535519125683059,1.0846994535519126,0.02100000000000002,0.259,1.5998012312619054,0.12302680617287368,0.7999006156309527,3.1923076923076925,2.8846153846153846,1.5961538461538463,2.0317460317460316,0.25396825396825395,1.0158730158730158,0.5640000000000001,0.35000000000000003,0.44099999999999995,0.153,0.13,0.14600000000000002,1.625,1.125,0.8125,0.208
Be-U,2.6620076238881833,2.1918678526048283,1.3310038119440917,1.7868852459016393,0.07103825136612016,0.8934426229508197,-1.479,1.2349999999999999,1.6389034591281781,0.08392457830660077,0.8194517295640891,3.6923076923076925,3.3846153846153846,1.8461538461538463,2.238095238095238,0.4603174603174603,1.119047619047619,1.355,1.141,0.373,0.08500000000000002,0.065,0.08099999999999999,1.0,0.5,0.5,-0.152
Be-Np,2.801778907242694,2.331639135959339,1.400889453621347,1.5683060109289617,0.14754098360655737,0.7841530054644809,-2.916,2.6679999999999997,1.3678049857825139,0.35502305165226516,0.6839024928912569,3.730769230769231,3.423076923076923,1.8653846153846154,2.246031746031746,0.46825396825396826,1.123015873015873,1.393,1.179,0.391,0.10300000000000001,0.047,0.063,1.125,0.625,0.5625,-0.13
B-B,0.5946632782719187,0.0,0.29733163913595934,2.2295081967213113,0.0,1.1147540983606556,-0.292,0.0,2.59520194351655,0.0,1.297600971758275,0.38461538461538464,0.0,0.19230769230769232,1.5555555555555556,0.0,0.7777777777777778,0.344,0.0,0.646,0.0,-0.13,0.0,0.75,0.0,0.375,0.028
B-Al,0.6404066073697585,0.04574332909783994,0.32020330368487926,1.9945355191256833,0.23497267759562837,0.9972677595628416,-0.202,0.05600000000000001,1.813004444689838,0.7821974988267123,0.906502222344919,0.6923076923076923,0.3076923076923077,0.34615384615384615,1.9126984126984128,0.35714285714285715,0.9563492063492064,0.5209999999999999,0.177,0.343,0.303,-0.0030000000000000027,0.127,0.75,0.0,0.375,0.143
B-Si,0.5933418043202033,0.001321473951715342,0.29667090216010167,2.153005464480874,0.07650273224043723,1.076502732240437,-0.233,0.04300000000000001,2.229136184192364,0.3660657593241863,1.114568092096182,0.7307692307692307,0.34615384615384615,0.36538461538461536,1.873015873015873,0.31746031746031744,0.9365079365079365,0.46699999999999997,0.123,0.448,0.198,-0.061,0.069,0.875,0.125,0.4375,-0.026
