,Elements,Density_sum,Density_diff,Density_aver,Eneg_sum,Eneg_diff,Eneg_aver,Magnetic_sum,Magnetic_diff,Melting_sum,Melting_diff,Melting_aver,Number_sum,Number_diff,Number_aver,Radius_sum,Radius_diff,Radius_aver,Vacancy_1_sum,Vacancy_1_diff,Vacancy_2_sum,Vacancy_2_diff,Vacancy_3_sum,Vacancy_3_diff,Valence_sum,Valence_diff,Valence_aver,Energy_binding
179,P-Np,2.90851334180432,2.2249047013977123,1.45425667090216,1.907103825136612,0.4863387978142076,0.953551912568306,-2.809,2.743,0.8868950666703475,0.1258868674599011,0.4434475333351737,4.153846153846154,3.0,2.076923076923077,2.373015873015873,0.3412698412698413,1.1865079365079363,1.655,0.917,0.503,0.009,0.034,0.076,1.5,0.25,0.75,-0.183
180,S-S,0.5260482846251587,0.0,0.2630241423125793,2.819672131147541,0.0,1.4098360655737705,0.007,0.001,0.4288545951467299,0.0,0.2144272975733649,1.2307692307692308,0.0,0.6153846153846154,2.015873015873016,0.0,1.007936507936508,1.146,0.0,0.754,0.0,0.008,0.0,1.5,0.0,0.75,0.412
181,S-Sc,0.6429479034307497,0.1168996188055909,0.3214739517153748,2.1530054644808745,0.6666666666666666,1.0765027322404372,-0.431,0.491,1.2160837037241532,0.7872291085774231,0.6080418518620766,1.4230769230769231,0.1923076923076923,0.7115384615384616,2.293650793650793,0.2777777777777778,1.1468253968253967,1.282,0.136,0.256,0.498,0.084,0.076,1.125,0.375,0.5625,0.441
182,S-Ti,0.8355781448538755,0.3095298602287167,0.4177890724269377,2.251366120218579,0.5683060109289617,1.1256830601092895,-0.88,0.946,1.2873091682080446,0.8584545730613146,0.6436545841040223,1.4615384615384617,0.2307692307692307,0.7307692307692307,2.1746031746031744,0.1587301587301587,1.0873015873015872,0.834,0.3119999999999999,0.217,0.537,0.02,0.012,1.25,0.25,0.625,0.155
183,S-V,1.0254129606099112,0.4993646759847522,0.5127064803049556,2.300546448087432,0.5191256830601094,1.150273224043716,-1.436,1.5,1.4198216602710985,0.9909670651243684,0.7099108301355492,1.5,0.2692307692307692,0.75,2.071428571428572,0.0555555555555555,1.0357142857142858,0.629,0.5169999999999999,0.291,0.4629999999999999,-0.004,0.012,1.375,0.125,0.6875,0.034
184,S-Cr,1.1715374841168995,0.6454891994917408,0.5857687420584499,2.3169398907103824,0.5027322404371586,1.1584699453551912,-2.085,2.141,1.4181652541203102,0.9893106589735804,0.7090826270601551,1.5384615384615383,0.3076923076923077,0.7692307692307693,2.023809523809524,0.0079365079365079,1.011904761904762,0.623,0.5229999999999999,0.382,0.372,0.002,0.006,1.5,0.0,0.75,0.053
185,S-Mn,1.1905972045743327,0.6645489199491741,0.5952986022871664,2.256830601092896,0.5628415300546448,1.128415300546448,-2.553,2.593,1.0532037655633162,0.6243491704165861,0.5266018827816581,1.5769230769230769,0.3461538461538461,0.7884615384615384,2.015873015873016,0.0,1.007936507936508,0.705,0.4409999999999999,0.471,0.283,0.023,0.015,1.625,0.125,0.8125,0.184
186,S-Co,1.388818297331639,0.8627700127064802,0.6944091486658195,2.4371584699453552,0.3825136612021859,1.2185792349726776,1.606,1.564,1.1906854760787349,0.7618308809320045,0.5953427380393673,1.6538461538461535,0.4230769230769231,0.8269230769230769,2.0,0.0158730158730158,1.0,0.563,0.583,0.49,0.264,0.02,0.012,1.875,0.375,0.9375,0.018
187,S-Ni,1.3939008894536211,0.8678526048284625,0.6969504447268107,2.453551912568306,0.366120218579235,1.226775956284153,0.795,0.761,1.1686000607348923,0.7397454655881621,0.5843000303674462,1.6923076923076923,0.4615384615384615,0.8461538461538461,1.992063492063492,0.0238095238095238,0.996031746031746,0.6779999999999999,0.4679999999999999,0.597,0.157,0.05,0.0419999999999999,2.0,0.5,1.0,0.167
188,S-Cu,1.4015247776365949,0.8754764930114359,0.7007623888182974,2.448087431693989,0.371584699453552,1.2240437158469946,0.1629999999999999,0.129,0.9641001573585845,0.5352455622118543,0.4820500786792921,1.7307692307692308,0.5,0.8653846153846154,2.023809523809524,0.0079365079365079,1.011904761904762,0.827,0.3189999999999999,0.596,0.158,0.0579999999999999,0.05,2.125,0.625,1.0625,0.269
